date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:25	7111/7111	---M--	200	added ('OK')	image/png	etag:%2259e6b4eb-1bc7%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_777777_256x240.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_777777_256x240.png	(from https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css)
14:50:26	5830/5830	---M--	200	added ('OK')	image/png	etag:%2259e72f35-16c6%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/images/ajax_loader.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/images/ajax_loader.png	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-ffwd_frontend-1.0.28.css)
14:50:26	43/43	---M--	200	added ('OK')	image/gif	etag:%2259e72f35-2b%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/images/blank.gif	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/images/blank.gif	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-ffwd_frontend-1.0.28.css)
14:50:26	754/754	---M--	200	added ('OK')	image/png	etag:%2259e72f35-2f2%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/images/captcha_refresh.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/images/captcha_refresh.png	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-ffwd_frontend-1.0.28.css)
14:50:27	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2259e72f35-10d0b%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont.eot?v=4.4.0	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont93e3.eot	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css)
14:50:27	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2259e72f35-10d0b%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont.eot?	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css)
14:50:27	64464/64464	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2010:38:45%20GMT	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont93e3.html	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css)
14:50:27	81284/81284	---M--	200	added ('OK')	application/font-woff	etag:%2259e72f35-13d84%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont.woff?v=4.4.0	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont93e3.woff	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css)
14:50:27	138204/138204	---M--	200	added ('OK')	application/octet-stream	etag:%2259e72f35-21bdc%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont.ttf?v=4.4.0	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont93e3.ttf	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css)
14:50:28	355981/355981	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259e72f35-56e8d%22	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont.svg?v=4.4.0	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/font-awesome/fonts/fontawesome-webfont93e3.svg	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css)
14:50:28	254/254	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Oct%202017%2007:50:28%20GMT	https://ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/mCSB_buttons.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/wd-facebook-feed/css/mCSB_buttons.png	(from https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-jquery.mCustomScrollbar-1.0.28.css)
